,아이디,날짜,맛평점,양평점,배달평점,리뷰
5117,   손님,2017년 11월 2일,3,4,4,맛도 양도 그냥 그래요
5118,   손님,2017년 11월 2일,5,5,5,마감시간 넘어서 배달부탁했는데 늦게갔는데도 불구하고 먼저 전화주시고 배달와주시고 진짜 너무 친절해요ㅠㅡㅠ 볼케이노도 정말 맛잇엇고 처음 시켯는데 자주 시켜먹을게요! 번창하세요❤
5119,   손님,2017년 11월 2일,5,5,5,맛있네요 역시  굽네네요
5120,ys**님,2017년 11월 1일,5,5,5,"고추바사삭 주문했는대 바삭하고
양이랑 맛 다좋았습니다
배달오신분도 너무친절해서
먹기전부터 기분이좋네요"
5121,   손님,2017년 11월 1일,5,5,5,양 도 맛도 두둑합니다
5122,   손님,2017년 10월 31일,5,5,5,맛있어요 지금 맛봤고 본격적으로 먹을거에요. 오늘 휴대전화 번호 바꿨는데 배달하시는 분 고생하게 했네요. 요기요에 바꾸는 걸 까먹었어요 ㅠㅠ 미안합니다. 수고하세요~~
5123,   손님,2017년 10월 31일,5,5,4,"맛난다 맛나!
근데 젓가락은 꼭 주세여 ㅠㅠ"
5124,az**님,2017년 10월 31일,5,5,5,항상맛잇습니다역시굽네
5125,   손님,2017년 10월 30일,4,4,5,맛있어요~ 볼케이노 매울까바 캔디 2개 주시는 센스도 굿굿
5126,   손님,2017년 10월 29일,5,5,5,엄청나게 맛있게먹었습니다. 다리도 커서 만족했어요!!
5127,   손님,2017년 10월 29일,4,4,4,배달속도도 빠르고  맛도  잇엇구요  자주 시켜야겟네요 ㅋㅋㅋㅋ
5128,   손님,2017년 10월 29일,5,5,5,오 맛있다 맛있어ㅎㅎㅎㅎㅎㅎㅎ
5129,   손님,2017년 10월 29일,5,5,5,넘 맛있어요 단골임 단골
5130,lo**님,2017년 10월 29일,5,5,5,"배달, 맛 다 만족해요 맛있어요."
5131,   손님,2017년 10월 28일,5,5,5,"오랜만에 시키는디두 
멋도 배달두 굳굳 맛있다아"
5132,st**님,2017년 10월 28일,4,4,4,무난하니 괜찮아요
5133,   손님,2017년 10월 28일,5,5,5,배달도 빨리왔고 맛나게 먹었어요. 좀 짜단말 들어왔던 메뉴라 기다리면서 흰쌀밥 해서 같이 먹었는데 젠짜 밥도둑이에요 ㅋㅋ 밥이랑 먹으니 양도 많게 느껴지고 반 남은거 내일 데워서 또 밥반찬으로 할거같아요 ㅋㅋ 많이 파세요~~
5134,   손님,2017년 10월 28일,5,5,4,매번 여기서 시켜먹어요! 가끔 주문내역을 잘 안보시는것 빼고는 좋아요~
5135,wl**님,2017년 10월 28일,5,5,4,굽네는 역시 언제 먹어도 맛있어요 >_ <
5136,   손님,2017년 10월 28일,4,4,5,맛 양 배달 모두 만족입니다~~~
5137,   손님,2017년 10월 27일,5,5,5,여긴 정말치킨잘해요 배달도빠르고
5138,01**님,2017년 10월 27일,5,5,5,"배달 하시는분 넘 친절하세요~~ 맛잇게드시라고 얘기해주시고^^
맛도 잇네요 ㅎㅎ 잘먹을게요"
5139,wa**님,2017년 10월 27일,5,5,5,가끔씩 살짝매운거 땡길때 요거추천
5140,sk**님,2017년 10월 27일,3,5,5,"항상여기서만시켜먹는데
덜구운건지 껍질이 물컹물껑하네여ㅜ"
5141,   손님,2017년 10월 27일,5,5,4,항상 여기서 먹지만 맛있어요.
5142,   손님,2017년 10월 26일,5,3,4,맛있어요 근데 치킨 옷이 너무 잘 벗겨져요 ㅠㅠ
5143,   손님,2017년 10월 26일,5,5,5,맛있게  잘 먹었습니다
5144,   손님,2017년 10월 26일,5,5,5,"맛있어요*^^* 
배달하는분도 친절하고～맛 최고"
5145,   손님,2017년 10월 25일,4,4,4,굳뜨 나이스잡 굳굳
5146,   손님,2017년 10월 24일,3,5,4,치킨 구운상태가 약간이상해서그런지 모르겠지만 평소보다 맛이덜했어요
5147,kj**님,2017년 10월 24일,4,4,4,역시 믿고 먹는 굽네에요 맛있게 먹었어요 ㅋㅋㅋ 굳굳
5148,   손님,2017년 10월 23일,5,4,5,항상 좋아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
5149,   손님,2017년 10월 23일,5,5,5,항상 맛있아용 고추바사항
5150,ys**님,2017년 10월 23일,5,4,5,맛있습니다. 감사합니다
5151,   손님,2017년 10월 22일,5,5,5,배달빠르고 맛있었어요! 굽네오리지널 시켰는데 가격도 저렴해서 좋네요!
5152,dh**님,2017년 10월 22일,5,5,5,맛있어요 배달이 빠르고 맛이 이주 좋아요
5153,   손님,2017년 10월 22일,5,5,5,마시써요 ㅋㅋㅋㅋㅋㅋㅋㅋ
5154,av**님,2017년 10월 22일,3,3,3,보통입니다.덜 구워진거같아요.
5155,pu**님,2017년 10월 22일,5,5,5,맛있어요~~~~~~
5156,   손님,2017년 10월 21일,5,5,5,빠른 배송 감사합니다
5157,   손님,2017년 10월 21일,5,5,4,정말 최고!무슨말이 필요?
5158,me**님,2017년 10월 21일,4,4,4,구운게 몸에 더 좋다고 해서 자주 먹네요
5159,   손님,2017년 10월 21일,5,5,5,일주일에 두번은 먹는가 같아용 맛나용
5160,   손님,2017년 10월 21일,5,5,5,단골입니당 맛있쪄여
5161,zz**님,2017년 10월 20일,5,5,5,오랜만에 먹으닌깐 넘 마싯음
5162,rk**님,2017년 10월 20일,5,5,5,맛있어요맛있어요요요
5163,wo**님,2017년 10월 18일,5,5,5,재재재재주문이구요 소스요청사항도 들어주시고 맛있게 해주셔서 정말 좋습니다!!!!!굽네는 여러군데 노출되지만 다시켜먹어봤는데 여기가짱이에요 번창하세요!
5164,ha**님,2017년 10월 18일,5,4,4,고추 바사삭 먹는데 살도 부드럽고 너무 맛있어요!!
5165,   손님,2017년 10월 18일,5,4,5,맛있습니다 ㅎ 치밥이 역시 강건
5166,   손님,2017년 10월 17일,5,5,4,"저희 집은 여기 굽네 밖에 안시켜 먹어융~~너무너무 맛있어요 특히 볼케이노랑 갈비천왕은 밥 비벼서 먹으면 끝장나는 레알 밥도둑이죵 ㅎㅎ 
다른 곳에 비해 맛 양 질 이 비교할 수 없을 정도로 넘 좋아요 ㅎㅎ 맛있게 먹었습니다 사장님 ㅎㄹ"
5167,   손님,2017년 10월 16일,5,5,5,배달빠르고 맛도 좋아요
5168,   손님,2017년 10월 16일,5,4,3,자주 시켜먹는데 서비스도 좋고 맛도 정말 최고에요
5169,   손님,2017년 10월 16일,5,5,5,맛좋고 배달친절하고좋아요
5170,   손님,2017년 10월 16일,5,5,5,늘 맛있어요!!! 굳굳 ㅎㅎㅎ 매번 잘 시켜먹고있어요
5171,   손님,2017년 10월 15일,5,4,4,치킨은 진리지👍👍👍
5172,   손님,2017년 10월 15일,5,4,4,맛은 뭐 안먹어본사람없을테니 당연맛있고 양은 제가많이먹는편이라 그냥 배부르게먹을정도이고 저는 좀 맵게먹는걸좋아해서 마그마소스 두개다뿌리는데 정말 꿀맛이에요😍
5173,ji**님,2017년 10월 15일,5,5,5,항상빨라요 굿입니다
5174,ka**님,2017년 10월 15일,5,5,5,맛있어요 항상 배달시켜먹는곳이에요
5175,   손님,2017년 10월 14일,5,4,4,"만나게 잘 먹었습니다.
또 주문하겠습니다."
5176,   손님,2017년 10월 14일,5,5,5,자주 시켜먹는데 구운거라 맛나여
5177,dm**님,2017년 10월 14일,5,5,5,맛있어요. 육질도 좋고..볼케이노 너무 좋아요. 매운맛도 적당하고..잘 먹었습니다.
5178,to**님,2017년 10월 13일,4,1,4,항상시켜먹는곳인데 아직배달이안왔는데 왠리뷰..?
5179,   손님,2017년 10월 12일,5,5,5,맛있고 배달도 빨라요~
5180,sl**님,2017년 10월 11일,5,4,4,"맛있게먹었네요
양은...."
5181,   손님,2017년 10월 11일,5,5,4,역시굽네치킨이예요~~~굿굿
5182,   손님,2017년 10월 11일,3,3,4,맛있었습니다. 배달도 적당히 빨랐어요
5183,   손님,2017년 10월 11일,5,5,5,"맛있어요 고추바사삭ㅎ
많이 맵지도 않고 굿굿
오랜만에 먹는거라 좋네요.ㅎ"
