,아이디,날짜,맛평점,양평점,배달평점,리뷰
4174,ye**님,2019년 5월 17일,5,5,5,맛있게 잘 먹었습니다!!!
4175,xf**님,2019년 5월 17일,5,5,5,회사 야근하면서 먹는데 슬프지만 맛있네요...ㅠㅠ
4176,da**님,2019년 5월 17일,5,5,5,맛있게 잘 먹었습니다~~
4177,   손님,2019년 5월 17일,4,3,4,배리굿나이스미튜챱챱챱
4178,fl**님,2019년 5월 17일,5,5,4,"이벤뜨때문에 쫌 늦게 왔지만....
이따다끼마스!!"
4179,   손님,2019년 5월 17일,5,5,5,"양념 추가로 서비스주시고 항상 감사합니다ㅠㅠ
간장치킨 최고"
4180,jk**님,2019년 5월 17일,4,3,3,불금에 이벤트라서 배달은 조금 늦었지만 맛있네요~
4181,hi**님,2019년 5월 17일,5,5,4,"이벤트 기간이라 배달은 좀 늦었지만, 역시 맛있습니다~"
4182,   손님,2019년 5월 17일,5,5,5,"오늘도 맛있었어요~~!!
늘 친절하시고 맛있고 호식이가 짱이에요^^"
4183,   손님,2019년 5월 17일,5,5,5,전산 오류가 있었는데 바쁜 와중에 빠르게 해결해서 배달해주셔서 감사히 잘 먹었습니다~~
4184,   손님,2019년 5월 17일,4,5,5,맛있게 잘 먹었습니다^_^
4185,   손님,2019년 5월 17일,1,4,4,닭 손질이 제대로 되지 않았는지 닭에서 누린내가 나서 못 먹었어요 호식이 치면은 맛있게 먹었습니다
4186,   손님,2019년 5월 16일,4,4,3,쏘쏘합니다 ㅎㅎㅎㅎㅎ
4187,ma**님,2019년 5월 16일,5,5,5,너무 맛있게 먹고있습니다 ㅎㅎㅎ
4188,   손님,2019년 5월 16일,5,5,5,"호식이두마리 간장 + 양념 정말 맛있네요.
지점마다 퀄리티가 다르다는 소문이 많았는데 이쪽은 정말 양도 낭낭하고 맛있습니다.
며칠 안 지났는데 또 시켜먹게되네요. ㅋㅋ"
4189,jh**님,2019년 5월 16일,5,5,5,적당한 시간대에 잘왔네요 잘 먹을게요~~~!
4190,km**님,2019년 5월 16일,5,5,5,"오랫만에 호식이두마리치킨을 가까운 가산점이 오픈해서 시켰는데 너무 맛있게 잘먹었어요..
튀김 정도도 적당해서 입천정 안까지고 ㅋㅋ닭  육질 상태도 좋고 요새 스트레스 때문에 잘 못먹는데 간만에 잘먹었네요..
양념 많이 달라고 요청드렸더니 엄청 주셨어요..ㅎㅎ감사합니다.
다음에 또 주문할께요."
4191,hy**님,2019년 5월 16일,5,5,4,리뷰침여했었는데 큰콜라는 안주셨지만 너무 맛있어서 리뷰했으니 다음엔 꼭 배달같이해주시요^^
4192,   손님,2019년 5월 16일,2,2,5,순살간장 주문했는데 뼈있는 오리지널 튀김이왔네요  전화하려고따지려다가 배고파서 그냥먹었어요  나머지차액은어쩌실건가요??
4193,   손님,2019년 5월 15일,3,5,5,몇년만에 호식이 치킨을 시켰는데 생각보다 빨리오시고 양이 너무 많아서 놀랬네요ㅎㅎ 어렸을땐 참 맛있게 먹었었구 지금도 충분히 맛있었지만 입맛이 크면서 조금 바뀐모양 입니다ㅜㅜ 그리워지면 또 시킬거같네요ㅎㅎ
4194,co**님,2019년 5월 15일,2,3,3,솔직히 맛은 둘째치고 튀김상태랑 포장이 너무하네요..닭이 종이에 붙어있고..눅눅하네요 첨시켰는데 실망이에요..
4195,ba**님,2019년 5월 15일,5,5,5,양념도 강하지않고 부드럽고 맛있네요
4196,   손님,2019년 5월 14일,5,5,5,"너무 맛있어요~~!!
호식이만 먹어요♡♡"
4197,ak**님,2019년 5월 14일,2,3,3,너무 익혀서 살이 없구 껍질도 딱딱해요 ㅜㅜ
4198,we**님,2019년 5월 14일,5,5,5,배달도 빠르고 살코기 좋아요 ㅎㅎ
4199,   손님,2019년 5월 14일,3,5,5,매운간장 생각보다 너무 맛이 없었어요!!  느끼하구 비릿하네요!
4200,   손님,2019년 5월 14일,4,4,4,윙이랑 봉 맛있어요 양도 많고 좋아요
4201,ta**님,2019년 5월 13일,5,5,5,양도 많고 맛있네요.
4202,   손님,2019년 5월 13일,5,5,5,"매운간장 처음 먹어보는데 엄청 맵네요 ㅠㅠ 
매운거 잘못먹어서 더 먹지 못하는게 아쉬울정도로 맛있긴해요 ㅋㅋ ! 양도 많고 👍🏻👍🏻"
4203,   손님,2019년 5월 13일,5,5,5,역시 믿고 먹는 호식이
4204,sc**님,2019년 5월 13일,5,5,3,배달은 느렸지만 이벤트때문이라 생각합니다ㅎㅎ 맛있네요
4205,   손님,2019년 5월 13일,5,5,5,너무맛있어요!!!ㅇ
4206,sj**님,2019년 5월 12일,5,5,5,"치킨은 너무 맛있게 먹었어요~ 항상시키던 곳이에요 
근데 이번에 쿠폰이 안왔어요"
4207,   손님,2019년 5월 12일,5,5,5,"이번에는 지난번과는 다르게 매운간장을 시켰는데 달짝 짭조름하면서도 살짝 매콤한게 정말 맛있네요. 치킨 양도 낭낭하고 배달도 빠릅니다.ㅎ
정말 맛있게 잘 먹었어요 ㅎㅎ"
4208,lh**님,2019년 5월 10일,5,5,5,역시 호식이는 매운간장이죠! 맛있게 먹었습니다!
4209,zz**님,2019년 5월 10일,5,5,5,"일단 이밴트가 대박!! 콜라 안주는  타 프렌차이즈도 많은데 1.25를 이밴으로 주다니 대박!!
닭크기는 먹어본 사람은 다 안다! 한마리 기준 프렌차이즈 중 탑에 속한다!!
배달하시는 분도 친절하시고 시간도 예정보다 빨리오셨다!!
6조각 남아서 다음날 먹었는데 식어도 닭고기가 쫄깃하고 잡내가 없다!!"
