,아이디,날짜,맛평점,양평점,배달평점,리뷰
203,uz**님,2022년 5월 14일,5,5,5,"깜빡하고 사진을 늦게 찍었네요
예전에 많이 먹던 가마로강정, 간만에 주문해 봤습니다
여러가지 맛이 많이 나왔는데 원래먹던 맵콤과 달콤한 맛 시켰는데, 여전히 예전 그대로 맛있네요
맛있게 먹었습니다"
204,dp**님,2022년 5월 13일,5,5,5,항상 맛있게 먹어용~ 1~2주애 한 번은 꼭 먹는 맛집이에용
205,de**님,2022년 5월 13일,5,5,5,늘 맛나게 먹고있습니다~♡
206,ta**님,2022년 5월 12일,5,5,5,"항상 맛있게 먹고있는데 어찌
양이 매번다른것같아요... 이번엔 평소에비해 너무 양이적어서 전화를 드릴까하다가 말았는데... 신경좀 써주심좋겠어요"
207,kh**님,2022년 5월 12일,-,-,-,맛있게 잘 먹었습니다
208,03**님,2022년 5월 10일,5,5,5,매번 달콤만 시키다 후라이드 반 달콤 반 했는데 이것도 맛있네요 닭다리살이라 부드럽고 좋아요
209,th**님,2022년 5월 9일,5,5,5,배달 엄청빠르게왔고 너무맛있게 잘먹었습니다 ㅎㅎ
210,sk**님,2022년 5월 9일,5,5,5,"오랫만에 주문했는데 두가지맛이 생겼네요?
매콤만 시켜먹다가 땡초도먹었는데 땡초도맛있네요"
211,al**님,2022년 5월 8일,5,5,5,"맛있었어용 ㅎㅎ 양도 많구요
떡도 많이 줬어용"
212,om**님,2022년 5월 8일,5,5,3,"가마로 매번 믿고 주문해요 ㅎㅎ
닭강정은 여기것만 먹는 것 같아용"
213,se**님,2022년 5월 8일,5,5,5,맛있게 잘 먹었습니다!
214,da**님,2022년 5월 7일,4,4,1,"예상시간59분이었는데
1시간10분좀넘게걸렸네요
강정은맛있게먹었는데
감자는다식어서쫌그랬네요"
215,js**님,2022년 5월 7일,-,-,-,"1주일만에 또 먹었네요
맛있게 잘 먹었습니다"
216,sa**님,2022년 5월 7일,5,5,5,맛있게 잘 먹었습니다~
217,sa**님,2022년 5월 6일,5,5,5,껍질 빠싹하니 넘 맛있어요.. 땡초가 꽤 매워서 울면서 우유랑 같이 먹고있어요ㅠㅋㅋ 양 너무 많아서 반 정도는 얼려두고 나중에 먹어야겠어요ㅎㅎ
218,ki**님,2022년 5월 6일,5,5,5,배달도 빨리오고 맛도 맛있었는데 한가지 부족한점은 3종류를 시켰는데 1종류가 너무 바삭하게 튀기신게 좀 아쉽네여
219,ta**님,2022년 5월 5일,5,5,5,항상맛있게 먹고있습니다 제주도 한달살기갔더니 가마로가그립더라고요ㅋㅋㅋ
220,ye**님,2022년 5월 4일,5,4,3,배달이 예상시간보다 느렸지만 간만에 맛있게 잘 먹었습니다~ㅎㅎ
221,ff**님,2022년 5월 3일,5,5,5,맛있게 먹었습니다 감사합니다
222,kh**님,2022년 5월 1일,5,5,5,"역시 가마로 존맛!
매운맛이 조금더 매워진 느낌인데 더 맛있어요"
223,ky**님,2022년 5월 1일,5,5,5,말이 필요가 없습니다 다음에도 시키는 맛
224,ai**님,2022년 5월 1일,5,5,1,맛있게 잘 먹었어요!!
225,re**님,2022년 5월 1일,5,5,5,"순살로만 주문했어요~
아이가 먹고 다음날도 또 먹네요.
치킨 시키면 다리 2개만 먹고 마는터라 치킨 주문할때는 누가 다 먹나 영 부담스러웠는데 가마로강정은 그런 걱정이 없어요.
알아서 강정과 무를 잘 먹으니 넘 좋아요~
잘 먹었습니다. 다른 메뉴 도전해보고 싶은데 애가 후라이드 강정을 좋아하니 어렵군요..^^;;"
226,na**님,2022년 5월 1일,5,5,5,"매콤,땡초 넘 맛나게 잘먹었습니다"
227,dl**님,2022년 4월 30일,5,5,5,매콤달콤 너무 맛있어요.
228,ma**님,2022년 4월 30일,5,5,5,"항상 후회없는 선택입니다.

맛있게 잘 먹었습니다!"
229,ru**님,2022년 4월 29일,5,5,5,맛있네요 ㅎㅎㅎㅎㅎㅎㅍㅍ
230,pr**님,2022년 4월 29일,5,5,5,오랜만에 시켰는데 가마로강정은 여기가 진리입니다~ 오늘 유난히 더 맛있네요ㅠ 분명 양념을 듬뿍 묻힌 닭강정인데 튀김옷이 정말 바삭해요~~~ 아이와 함께 둘이 금새 순삭했어요 ㅎㅎ
231,ka**님,2022년 4월 29일,5,5,5,항상 맛있는 가마로강정
232,wl**님,2022년 4월 29일,5,5,5,"맛잇어요~~
또시켜먹을게요"
233,js**님,2022년 4월 29일,-,-,-,맛있게 잘 먹었습니다
234,30**님,2022년 4월 28일,5,5,5,여전히 맛있고 배달도 빨라요~^^
235,hy**님,2022년 4월 27일,5,5,4,"한시간 꼬박 기다렸지만 맛있네요^^
역시 가마로 강정 ㅋㅋ"
236,km**님,2022년 4월 27일,5,5,4,맛있어요 닭강정은 역시 여기네요~ 한시간 사십분걸려 배달온거 빼곤 만족합니다 요기요는 예상시간만 나오고 배달중 표시라도 해주면 오겠거니 하는데 주문이 누락인건지 알수가 없어 답답
237,uk**님,2022년 4월 27일,1,1,1,1시간을 기다렸고 도착예정시간도 지났는데 기다려주시면 감사하겠습니다. 이게 서비스 마인드 맞아요? 누구는 시간 기다려가면서 돈 쓰고 도착예정시간이 지났는데 2분전에 출발했다고 도착이 이미 되고도 남아야되는 시간인데 죄송하다는 말도없이 우린 이래 그래니까 기다려줘 라는 응대가 맞는 순리인가 다시한번 생각해보세요. 음식만 먹습니까 요즘 소비자가? 정말 너무 하시네요
238,re**님,2022년 4월 26일,5,5,5,"주문 시 요청사항 들어주셔서 감사해요~~
제가 먹고싶어서 시켰는데 애가 엄청 잘 먹어서 더 좋으네요~^^
오늘도 변함없이 맛있습니다~!
떡은 남기면 다음날 먹기 어렵지만, 강정은 다음날에도 맛있게 파삭하니 잘 먹었습니다.
종종 주문할게요~!!"
239,tb**님,2022년 4월 25일,5,5,5,배달도 빠르게 오고 맛있게 잘 먹었어요 ~!!
240,kh**님,2022년 4월 24일,5,5,5,잘먹었습니다! 언제 먹어도 맛있네요 ㅎㅎ
241,sj**님,2022년 4월 24일,5,5,5,"여기 처음시켜봤는데 너무 맛있어요^^
양도 많고 맛있게 잘 먹었습니다"
242,dp**님,2022년 4월 24일,5,5,5,항상 맛있게 먹어요~~
243,jm**님,2022년 4월 24일,5,5,5,"너무 맛있고 예상 시간보다 일찍 왔어요 ㅎㅎ

친절하게 배달해 주셨어요 ㅎ"
244,de**님,2022년 4월 24일,5,5,5,"너무 맛있어욥!!!!!!!
으라차차소스 찍먹하면 또 저세상 맛ㅜ ㅜ!!!!!!!!!"
245,gl**님,2022년 4월 24일,5,5,5,맛있게 잘 먹었습니다. 근데 포장박스는 예전게 더 나았던 것 같아요... 부피가 너무 크네요;
246,mi**님,2022년 4월 22일,4,2,3,"솔직히 양이 너무 적네요 
리뷰이벤트(떡추가) 안했으면 양이 더 적었을듯"
247,lo**님,2022년 4월 22일,5,5,5,너무 맛있게 잘먹었습니다!강추!
248,mi**님,2022년 4월 20일,5,2,5,"항상 맛있어요!! 
다만 오늘 많이 바쁘셨나봐여 ㅠㅠ 양념이 잘 안 버무려져서 왔네요 ㅠㅠ"
