,아이디,날짜,맛평점,양평점,배달평점,리뷰
29,ss**님,2022년 8월 3일,-,-,-,일이있어 마감시간에 찾으러 갔는데도 직원분이 피곤한기색 없이 엄청 친절하셨어요
30,ki**님,2022년 7월 23일,5,5,5,맛있게 잘먹었습미다 >_<!!!
31,87**님,2022년 7월 22일,5,5,5,배달도 빠르고 이쁘게 담겨와서 좋았어요
32,hy**님,2022년 7월 22일,5,5,5,칼분할되서 와서 좋습니다👍🏻
33,da**님,2022년 7월 19일,5,5,5,배달이바르고 좋아요
34,sj**님,2022년 7월 18일,-,-,-,말있는헤라베라베라 짱
35,87**님,2022년 7월 16일,5,5,5,더울땐 베라가 최고!
36,si**님,2022년 7월 15일,5,5,5,맛나게 잘먹었습니다
37,87**님,2022년 7월 14일,5,5,5,배달 빠르게와서 잘 먹었어요
38,ia**님,2022년 7월 7일,5,5,5,세로로 퍼주셔서 아이들이 좋아하는 것만 잘 골아먹을수 있었어요
39,yj**님,2022년 7월 3일,-,-,-,아이들이 너무 좋아해요~~ 맛있는 레인보우 샤베트 짱이에요~~
40,ki**님,2022년 7월 2일,5,5,5,언제나 잘먹고있습니다!
41,hs**님,2022년 7월 2일,-,-,-,포장도 빠르고 맛있어요 :)
42,me**님,2022년 7월 1일,-,-,-,초코나무숲이 다나가서 그런지 대체맛이었지만 그래도 역시 맛있어요..☆
43,mg**님,2022년 6월 30일,5,5,5,정확히 빠르게 잘 왔고 맛도 좋았습니다
44,ki**님,2022년 6월 25일,5,5,5,잘먹었습니다~!!!
45,as**님,2022년 6월 24일,-,-,-,포장했는데 준비 빨라서 좋아요
46,bl**님,2022년 6월 24일,5,5,3,아이스크림이 좀 녹아서 오긴했네요 집 엄청 가까운데ㅠㅠ
47,ye**님,2022년 6월 22일,5,5,5,맛있게먹었어요ㅜ사빠딸이 다나갔나보네요
48,ks**님,2022년 6월 20일,-,-,-,잘먹었습니다 감사합니다
49,oh**님,2022년 6월 19일,-,-,-,"#식후감
역시베라는맛잇네요
근데좀녹음"
50,du**님,2022년 6월 19일,-,-,-,굿굿 넘맛잇어용ㅎㅎㅎ 자모카미쳐뚬 두세번드삼
51,sj**님,2022년 6월 17일,-,-,-,맛있어용 베라 잇츠 딜리셔쓰
52,yu**님,2022년 6월 17일,-,-,-,맛있어요 피카피카추
